tax	BUD-57-MGE-S165	CM-NTC-009-NTC	GIN-2-MGE-S174	GIN-27-MGE-S171	GIN-29-MGE-S177	HAM-59-MGE-S182	HEN-29-MGE-S162	HEN-66-MGE-S173	HER-1-MGE-S175	IRI-59-MGE-S167	IVY-29-MGE-S164	IVY-70-MGE-S183	JAR-15-MGE-S176	JAR-29-MGE-S184	JOA-14-MGE-S170	JOA-29-MGE-S181	JOA-57-MGE-S166	KOR-29-MGE-S168	KUB-15-MGE-S180	OPH-43-MGE-S178	OPH-57-MGE-S172	WOL-1-MGE-S163	WOL-37-MGE-S169	WOL-57-MGE-S179	total
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter asburiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	159	0	0	0	0	160
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	79	26	6	151
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	6	0	2	6	5	6	16	11	1	7	10	17	6	3	0	0	4	0	9	6	7	8	8	4	142
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	5	0	2	2	1	11	14	20	2	18	6	1	2	5	0	6	4	0	2	3	32	1	2	1	140
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	3	0	0	8	1	10	3	3	6	16	5	6	8	11	0	10	3	4	6	11	9	6	8	3	140
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	5	0	1	0	0	0	0	0	0	74	10	6	0	0	0	6	1	0	0	0	0	8	11	4	126
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Anaeromassilibacillus;Anaeromassilibacillus senegalensis	1	0	0	0	0	8	1	0	0	0	16	38	3	0	0	0	1	0	11	6	0	18	7	2	112
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	3	0	0	0	0	0	0	0	0	80	0	0	0	0	0	4	3	0	0	0	0	0	17	2	109
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter actinomycetemcomitans	0	0	12	0	0	1	0	0	0	1	0	1	0	0	92	0	0	0	0	0	1	0	0	0	108
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis	0	0	0	0	0	8	0	0	0	0	29	45	2	0	0	0	0	0	15	5	2	0	0	0	106
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Catenibacillus;Catenibacillus scindens	1	0	0	0	0	0	0	0	0	0	2	5	19	0	0	4	0	0	11	29	14	7	5	5	102
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter mori	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	96	0	0	0	0	100
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	2	0	0	2	0	6	3	4	4	10	4	6	3	11	0	2	0	4	4	13	8	6	2	0	94
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Canicola;Canicola haemoglobinophilus	0	0	1	0	0	0	1	2	0	0	0	0	0	0	80	3	1	1	0	1	1	0	1	0	92
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis	4	0	1	0	0	4	1	0	5	10	0	9	6	4	0	3	2	3	8	15	1	8	6	1	91
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii	0	0	0	0	0	5	0	0	0	13	18	17	8	0	0	3	0	0	2	2	3	14	4	2	91
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parolsenella;Parolsenella catena	3	0	1	4	0	5	10	18	1	0	6	4	6	4	0	4	2	2	5	1	1	5	4	1	87
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena orotica	0	0	0	0	0	8	0	1	3	1	0	5	17	0	0	3	2	0	8	30	0	2	5	1	86
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia schinkii	0	0	0	2	0	8	2	3	3	1	2	5	7	3	0	3	0	0	11	12	11	8	2	2	85
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii	0	0	0	0	0	10	0	7	0	1	0	0	0	0	0	0	0	0	0	24	42	0	0	0	84
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium edouardi	1	0	0	3	2	5	3	2	6	4	12	5	5	0	0	0	0	0	10	4	2	8	7	2	81
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	5	0	1	0	0	8	0	0	8	11	3	8	4	0	0	2	0	0	8	6	2	7	5	1	79
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena faecalis	0	0	0	0	0	5	0	0	1	3	0	4	5	0	0	3	0	0	9	33	8	0	2	0	73
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella maculosa	5	0	0	0	0	2	2	2	1	33	0	0	0	0	0	2	8	2	0	1	5	0	8	1	72
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Porcincola;Porcincola intestinalis	3	0	0	6	5	3	5	2	4	10	1	1	0	6	0	5	3	7	1	0	2	3	3	1	71
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Sodaliphilus;Sodaliphilus pleomorphus	1	0	0	4	3	4	9	8	4	0	1	1	1	4	0	2	0	0	5	0	24	0	0	0	71
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oryzae	3	0	0	0	0	0	1	0	0	45	0	0	0	0	0	4	5	0	0	0	1	0	11	0	70
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio fibrisolvens	4	0	0	4	1	2	5	7	2	6	8	9	0	1	0	1	1	0	3	4	2	7	2	1	70
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides finegoldii	1	0	2	7	2	10	2	29	5	0	0	1	1	0	0	0	0	0	0	2	4	1	2	0	69
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia caecimuris	0	0	0	0	0	6	2	2	2	0	3	1	6	1	0	2	0	1	7	19	5	9	3	0	69
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	0	0	0	0	0	37	0	0	3	0	0	9	0	0	0	0	2	0	17	0	0	0	0	0	68
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium callanderi	0	0	0	0	0	5	0	0	0	2	0	0	7	1	0	3	1	0	10	15	3	8	8	1	64
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter chengduensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	62	0	0	0	0	63
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	0	0	0	0	0	5	3	17	0	18	1	0	0	0	2	4	0	0	0	2	6	2	3	0	63
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;Colibacter massiliensis	0	0	1	0	0	0	1	0	1	47	2	1	0	0	0	1	0	1	1	0	1	2	1	0	60
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea agglomerans	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	3	48	0	0	0	60
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus koreensis	2	0	0	1	0	0	2	17	0	4	3	9	2	2	0	0	0	0	3	1	0	2	7	0	55
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	0	0	0	0	0	0	0	0	0	14	6	5	0	0	0	1	0	0	0	0	0	12	9	5	52
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter aphrophilus	0	0	4	0	0	0	0	0	1	0	1	1	0	0	42	0	0	2	0	0	0	0	0	0	51
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides gallinaceum	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	5	0	0	0	0	0	0	0	50
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella xylanolytica	1	0	0	0	1	8	1	1	6	3	4	4	4	0	0	0	0	0	4	1	4	5	2	0	49
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum succiniciproducens	13	0	6	0	0	0	0	0	0	0	0	0	0	3	3	14	6	0	1	0	0	0	0	0	46
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;Granulicatella elegans	3	0	1	0	0	0	4	35	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	45
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	2	0	0	2	0	4	6	10	3	0	0	1	2	0	0	0	0	0	2	1	12	0	0	0	45
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oricebi	0	0	0	1	0	0	7	18	0	1	0	1	3	0	3	0	0	2	1	0	1	4	3	0	45
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	0	0	0	0	0	3	0	2	1	23	0	0	1	1	0	3	0	0	0	0	2	1	4	3	44
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus vulneris	3	0	0	2	1	2	0	10	1	0	5	6	0	1	2	0	0	1	1	1	0	5	2	1	44
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella;Gemella parahaemolysans	6	0	0	0	0	1	4	21	0	0	1	2	2	0	1	0	1	0	1	1	0	2	0	0	43
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella koreensis	3	0	0	0	0	0	0	0	0	25	0	0	0	0	0	2	0	0	0	0	0	0	10	1	41
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella parvula	0	0	1	0	0	0	0	1	0	0	3	2	0	0	34	0	0	0	0	0	0	0	0	0	41
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia producta	0	0	0	0	0	0	1	0	0	2	2	1	0	0	0	0	0	0	33	0	0	1	0	0	40
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia argi	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	29	0	0	0	0	0	39
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus mirabilis	2	0	0	0	0	12	0	0	3	0	11	1	1	0	0	0	0	0	0	8	0	0	0	0	38
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella ihumii	0	0	0	0	0	2	26	3	0	0	0	1	0	0	0	0	0	0	0	1	3	0	1	0	37
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides zhangwenhongii	0	0	0	1	0	4	0	19	2	0	2	0	0	0	1	0	0	0	2	1	2	1	0	0	35
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;Abiotrophia defectiva	0	0	0	0	0	0	2	8	0	0	3	10	1	0	2	0	1	1	0	0	2	4	0	0	34
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium baratii	29	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	32
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella;Gemella morbillorum	0	0	0	1	0	1	2	6	0	0	3	10	0	0	0	0	0	2	0	1	3	2	1	0	32
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella provencensis	3	0	0	0	0	2	2	1	0	1	6	2	0	0	0	0	0	0	1	1	0	7	4	0	30
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium perfringens	12	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	30
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli	0	0	9	0	0	0	0	0	0	0	0	2	0	0	16	0	0	0	0	1	0	0	0	0	28
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Gluceribacter;Gluceribacter canis	0	0	0	0	1	2	1	1	1	2	1	4	0	1	0	0	0	0	3	5	0	2	4	0	28
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria perflava	0	0	2	0	0	0	0	0	0	0	0	0	0	0	23	1	0	0	0	0	0	1	0	0	27
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprocola	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	17	3	0	0	1	3	0	0	0	27
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes shahii	0	0	0	0	0	9	0	0	1	5	0	0	0	0	0	7	0	0	1	0	0	2	2	0	27
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Jingyaoa;Jingyaoa shaoxingensis	1	0	1	2	0	0	1	3	1	1	1	2	0	1	0	0	3	0	1	3	3	1	1	0	26
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Caecibacteroides;Caecibacteroides pullorum	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	3	0	0	0	0	1	0	0	26
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas weihenstephanensis	0	0	0	0	0	0	0	24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	25
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella massiliensis	0	0	0	0	0	0	0	2	0	0	0	2	0	0	20	0	0	0	0	0	0	0	0	0	24
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	1	0	0	0	1	3	0	2	4	2	1	2	2	0	0	0	0	0	0	3	1	0	1	0	23
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerocolumna;Anaerocolumna jejuensis	1	0	0	2	0	0	1	0	0	3	0	0	1	2	0	1	0	4	0	1	2	3	2	0	23
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus massiliensis	0	0	1	0	0	0	2	1	0	0	0	0	0	0	18	0	0	0	0	0	1	0	0	0	23
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella loescheii	2	0	0	0	0	0	0	0	0	11	0	0	0	0	1	1	1	0	0	0	0	0	4	2	22
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia coccoides	0	0	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	0	5	7	1	1	0	0	20
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mitis	0	0	0	0	0	0	2	14	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	20
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	0	0	0	0	0	0	0	0	0	13	0	2	0	0	0	1	0	0	0	0	0	1	1	2	20
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter sichuanensis	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	19
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Pusillibacter;Pusillibacter faecalis	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	1	0	0	0	0	0	19
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia pseudococcoides	0	0	0	1	1	1	0	1	2	1	0	0	1	0	0	0	0	0	7	3	0	0	0	0	18
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Murimonas;Murimonas intestini	1	0	0	0	0	2	0	0	1	1	1	3	0	3	0	0	0	0	2	2	0	0	2	0	18
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria elongata	0	0	0	0	0	0	0	0	0	0	1	3	0	0	12	0	0	0	0	0	1	0	0	0	17
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;Actinobacillus capsulatus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	15	1	0	0	0	0	0	0	0	0	17
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oralis	1	0	1	1	0	0	3	5	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	17
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;Olsenella phocaeensis	0	0	0	0	1	1	1	1	1	2	1	2	0	2	0	0	0	1	0	0	0	3	1	0	17
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;Mannheimia ruminalis	0	0	1	0	0	0	0	1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	16
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes dispar	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	16
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio crossotus	0	0	0	0	0	1	1	1	1	2	2	2	2	1	0	0	0	0	0	1	1	0	1	0	16
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;[Clostridium] polysaccharolyticum	1	0	0	2	1	1	0	1	0	4	0	0	0	1	0	2	0	0	2	0	1	0	0	0	16
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella tannerae	3	0	0	0	0	1	0	2	4	0	0	0	0	1	0	1	0	0	1	1	2	0	0	0	16
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium merdae	0	0	0	0	0	0	1	0	0	0	3	3	0	0	0	0	0	0	4	2	0	2	0	0	15
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus ilei	1	0	0	1	0	0	1	7	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	15
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum intestinale	0	0	1	0	0	0	0	1	0	8	0	1	0	0	0	0	1	0	0	0	0	1	1	1	15
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria oralis	0	0	2	0	0	0	0	1	0	1	1	0	1	0	8	0	0	0	0	0	0	0	0	0	14
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium pacaense	1	0	0	0	0	1	0	0	2	0	0	1	0	0	0	2	0	0	0	1	0	0	5	1	14
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora saccharolytica	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	0	1	1	2	1	1	0	13
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter kilianii	0	0	4	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	13
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis	0	0	0	0	0	0	0	4	0	1	0	3	2	0	0	0	0	0	1	0	0	0	2	0	13
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas catoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	12
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella effluvii	0	0	0	1	0	0	1	0	1	0	0	2	0	0	0	0	0	0	2	3	1	0	1	0	12
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus simiae	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	1	0	1	0	2	0	2	0	1	12
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella;Pasteurella multocida	0	0	1	0	0	0	0	1	0	0	0	1	1	0	8	0	0	0	0	0	0	0	0	0	12
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Glaesserella;Glaesserella parasuis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	1	0	0	11
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella muris	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	3	2	0	11
