"Taxa"	"franc19"	"franc22"	"franc44"	"franc45"	"franc47"	"franc48"	"franc49"	"franc56"	"franc68"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.156571428571429	0.160285714285714	0.0362857142857143	0.202714285714286	0.378571428571429	0.210714285714286	0.234714285714286	0.114	0.203714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.199285714285714	0.186285714285714	0.0941428571428571	0.142714285714286	0.181142857142857	0.109857142857143	0.0977142857142857	0.178	0.249142857142857
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.182	0.152428571428571	0.113428571428571	0.137571428571429	0.120571428571429	0.166	0.148857142857143	0.178	0.114142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.123142857142857	0.163428571428571	0.0898571428571429	0.128571428571429	0.106428571428571	0.132857142857143	0.191142857142857	0.178142857142857	0.109
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.166428571428571	0.205285714285714	0.000285714285714286	0.164857142857143	0.0891428571428571	0.162571428571429	0.132	0.00442857142857143	0.086
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.0297142857142857	0.0477142857142857	0.244571428571429	0.083	0.0455714285714286	0.083	0.064	0.236857142857143	0.0191428571428571
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.0127142857142857	0.0277142857142857	0.0891428571428571	0.0401428571428571	0.0184285714285714	0.0282857142857143	0.0308571428571429	0.0294285714285714	0.0254285714285714
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.00285714285714286	0.00685714285714286	0.0245714285714286	0.0198571428571429	0.0167142857142857	0.0242857142857143	0.0372857142857143	0.0118571428571429	0.0945714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.015	0.0108571428571429	0.00714285714285714	0.03	0.0255714285714286	0.059	0.04	0.0211428571428571	0.00942857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.0835714285714286	0.0141428571428571	0.000285714285714286	0.0334285714285714	0.000714285714285714	0	0	0	0.0778571428571429
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.00471428571428571	0.00271428571428571	0.108857142857143	0.000428571428571429	0.000428571428571429	0	0.000142857142857143	0.000428571428571429	0.000857142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae"	0	0	0.0988571428571429	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.0144285714285714	0.0118571428571429	0.0134285714285714	0.005	0.00828571428571429	0.00957142857142857	0.00985714285714286	0.0201428571428571	0.00485714285714286
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.00271428571428571	0.00228571428571429	0.0152857142857143	0.004	0.00328571428571429	0.005	0.00242857142857143	0.00357142857142857	0.00142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0.00271428571428571	0.00257142857142857	0.000428571428571429	0.004	0.00314285714285714	0.00571428571428571	0.00514285714285714	0.00128571428571429	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.00142857142857143	0.00157142857142857	0.00228571428571429	0.000857142857142857	0.001	0.000428571428571429	0.00257142857142857	0.0148571428571429	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae"	0	0	0.024	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae"	0	0	0.0202857142857143	0	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0.000571428571428571	0.000714285714285714	0.000571428571428571	0.000857142857142857	0.000285714285714286	0.000857142857142857	0.00114285714285714	0.00471428571428571	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae"	0.000857142857142857	0.00271428571428571	0.00157142857142857	0.000142857142857143	0.000142857142857143	0	0.000142857142857143	0.000857142857142857	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae"	0	0	0.00657142857142857	0	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0.000714285714285714	0	0.000857142857142857	0.00114285714285714	0.000428571428571429	0.000285714285714286	0	0.001	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0	0	0.00185714285714286	0	0	0	0	0.000285714285714286	0.000142857142857143
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae"	0	0	0.000714285714285714	0	0	0.000857142857142857	0.000285714285714286	0.000142857142857143	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae"	0.000285714285714286	0	0.000714285714285714	0	0	0	0	0	0.000857142857142857
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae"	0.000285714285714286	0.000142857142857143	0.000428571428571429	0.000428571428571429	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae"	0	0	0	0	0	0	0.00114285714285714	0.000142857142857143	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae"	0	0	0.001	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae"	0	0.000142857142857143	0	0	0	0	0.000142857142857143	0.000142857142857143	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__"	0	0	0.000857142857142857	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__"	0	0.000285714285714286	0	0.000142857142857143	0	0.000142857142857143	0	0	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae"	0	0	0	0	0	0.000285714285714286	0.000142857142857143	0.000142857142857143	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae"	0	0	0.000571428571428571	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae"	0	0	0.000285714285714286	0	0	0.000142857142857143	0	0.000142857142857143	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae"	0	0	0.000571428571428571	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae"	0	0	0.000285714285714286	0	0	0	0	0.000285714285714286	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0	0	0	0	0.000142857142857143	0.000142857142857143	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae"	0	0	0	0.000142857142857143	0.000142857142857143	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae"	0	0	0	0	0	0	0.000142857142857143	0	0
