"Taxa"	"ginger14"	"ginger27"	"ginger43"	"ginger46"	"ginger49"	"ginger50"	"ginger52"	"ginger55"	"ginger66"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.582	0.366857142857143	0.0422857142857143	0.217	0.402142857142857	0.375142857142857	0.281428571428571	0.346571428571429	0.0342857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.0794285714285714	0.111428571428571	0.0532857142857143	0.289714285714286	0.365285714285714	0.275571428571429	0.227428571428571	0.205	0.026
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.071	0.266714285714286	0.0308571428571429	0.116714285714286	0.0885714285714286	0.162285714285714	0.192714285714286	0.158428571428571	0.0408571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.0354285714285714	0.0634285714285714	0.216857142857143	0.0638571428571429	0.0412857142857143	0.0511428571428571	0.0915714285714286	0.0631428571428571	0.486
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.109285714285714	0.0958571428571429	0.0288571428571429	0.107285714285714	0.0655714285714286	0.078	0.117	0.114571428571429	0.0301428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.0344285714285714	0.0344285714285714	0.0372857142857143	0.0832857142857143	0.0121428571428571	0.0175714285714286	0.0295714285714286	0.0392857142857143	0.108
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.0282857142857143	0.0228571428571429	0.0962857142857143	0.0552857142857143	0.00557142857142857	0.0131428571428571	0.0268571428571429	0.0161428571428571	0.114714285714286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0	0.293285714285714	0	0	0	0	0	0.0614285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae"	0.012	0.022	0.123857142857143	0.0562857142857143	0.00971428571428571	0.0171428571428571	0.023	0.0301428571428571	0.0524285714285714
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae"	0.00185714285714286	0.00128571428571429	0.043	0.00257142857142857	0.00457142857142857	0.00314285714285714	0.00242857142857143	0.0118571428571429	0.00814285714285714
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.0305714285714286	0.003	0	0.000142857142857143	0	0	0.000142857142857143	0	0.0185714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae"	0	0.000857142857142857	0.0224285714285714	0.00271428571428571	0.00171428571428571	0.00185714285714286	0.00328571428571429	0.00228571428571429	0.009
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae"	0.00885714285714286	0.00957142857142857	0.000714285714285714	0.002	0.000571428571428571	0.00128571428571429	0.00257142857142857	0.006	0.00185714285714286
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae"	0.000142857142857143	0.000285714285714286	0.00771428571428571	0.000714285714285714	0.001	0.000571428571428571	0.000428571428571429	0.000857142857142857	0.00257142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae"	0.005	0.001	0.000428571428571429	0.000714285714285714	0.000428571428571429	0.00128571428571429	0.000428571428571429	0.002	0.00114285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae"	0	0.000285714285714286	0.002	0.000714285714285714	0.000428571428571429	0.000571428571428571	0.000428571428571429	0.000428571428571429	0.00271428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.000571428571428571	0	0.000428571428571429	0.000142857142857143	0.000285714285714286	0.000714285714285714	0.000428571428571429	0	0.00157142857142857
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae"	0.000285714285714286	0.000142857142857143	0	0.000285714285714286	0.000428571428571429	0.000142857142857143	0.000142857142857143	0.00157142857142857	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae"	0	0	0	0	0	0	0	0.000857142857142857	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__"	0	0	0	0	0.000285714285714286	0.000142857142857143	0	0.000285714285714286	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae"	0.000285714285714286	0	0	0	0	0	0	0.000285714285714286	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae"	0.000285714285714286	0	0	0	0	0	0.000142857142857143	0.000142857142857143	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae"	0.000142857142857143	0	0	0.000142857142857143	0	0.000142857142857143	0	0	0
"k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae"	0	0	0	0.000428571428571429	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae"	0	0	0	0	0	0	0	0	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__"	0	0	0	0	0	0.000142857142857143	0	0.000142857142857143	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae"	0	0	0.000285714285714286	0	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae"	0	0	0	0	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae"	0.000142857142857143	0	0	0	0	0	0	0	0
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae"	0	0	0.000142857142857143	0	0	0	0	0	0
