"Taxa"	"ginger14"	"ginger27"	"ginger43"	"ginger46"	"ginger49"	"ginger50"	"ginger52"	"ginger55"	"ginger66"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.314428571428571	0.293285714285714	0.0221428571428571	0.159	0.219	0.267142857142857	0.227857142857143	0.186714285714286	0.0181428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.071	0.266714285714286	0.0308571428571429	0.116714285714286	0.0885714285714286	0.162285714285714	0.192714285714286	0.158428571428571	0.0408571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri"	0.0354285714285714	0.0634285714285714	0.214428571428571	0.0638571428571429	0.0411428571428571	0.0511428571428571	0.0915714285714286	0.0628571428571429	0.481285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.248571428571429	0.0718571428571429	0.0172857142857143	0.0542857142857143	0.171571428571429	0.100571428571429	0.0508571428571429	0.147	0.014
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0251428571428571	0.049	0.0297142857142857	0.114428571428571	0.124285714285714	0.108285714285714	0.104142857142857	0.0634285714285714	0.0122857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera massiliensis"	0.00614285714285714	0.0264285714285714	0.00514285714285714	0.0647142857142857	0.0447142857142857	0.0612857142857143	0.0517142857142857	0.0258571428571429	0.00285714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera indica"	0.015	0.018	0.000285714285714286	0.048	0.0662857142857143	0.0455714285714286	0.0338571428571429	0.0404285714285714	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.0208571428571429	0.0422857142857143	0.00514285714285714	0.0402857142857143	0.0255714285714286	0.0268571428571429	0.0592857142857143	0.0344285714285714	0.00671428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.0295714285714286	0.0282857142857143	0.0144285714285714	0.0272857142857143	0.0201428571428571	0.0221428571428571	0.0327142857142857	0.0325714285714286	0.0138571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera paucivorans"	0.0197142857142857	0.00757142857142857	0.00285714285714286	0.0254285714285714	0.0774285714285714	0.0252857142857143	0.0147142857142857	0.0428571428571429	0.00242857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis"	0.00728571428571429	0.00942857142857143	0.0828571428571429	0.0297142857142857	0.00542857142857143	0.00885714285714286	0.0101428571428571	0.0191428571428571	0.0358571428571429
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium myosotis"	0	0	0.161285714285714	0	0	0	0	0	0.0268571428571429
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera stantonii"	0.00728571428571429	0.00885714285714286	0.0131428571428571	0.0291428571428571	0.028	0.0264285714285714	0.0175714285714286	0.0161428571428571	0.00657142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0.00557142857142857	0.00914285714285714	0.0108571428571429	0.0527142857142857	0.00571428571428571	0.0104285714285714	0.0205714285714286	0.0192857142857143	0.0102857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.0238571428571429	0.014	0.00771428571428571	0.0375714285714286	0.005	0.00942857142857143	0.0192857142857143	0.0124285714285714	0.009
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus|s__Duodenibacillus massiliensis"	0.000571428571428571	0.00571428571428571	0.0314285714285714	0.00685714285714286	0.000285714285714286	0.000857142857142857	0.00371428571428571	0.00171428571428571	0.0861428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides merdae"	0.00457142857142857	0.0125714285714286	0.0387142857142857	0.0264285714285714	0.00414285714285714	0.00828571428571429	0.0128571428571429	0.0102857142857143	0.0145714285714286
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella faecalis"	0.00385714285714286	0.00314285714285714	0.0568571428571429	0.0107142857142857	0.000285714285714286	0.00285714285714286	0.00385714285714286	0.002	0.0194285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola vulgatus"	0.0134285714285714	0.00728571428571429	0.00628571428571429	0.0111428571428571	0.00257142857142857	0.00257142857142857	0.00371428571428571	0.007	0.0335714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.0241428571428571	0.00628571428571429	0.00228571428571429	0.0145714285714286	0.00314285714285714	0.0124285714285714	0.00542857142857143	0.00885714285714286	0.00214285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium reuteri"	0	0	0.0585714285714286	0	0	0	0	0	0.0102857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas rupellensis"	0.019	0.00171428571428571	0.00285714285714286	0.00371428571428571	0.0115714285714286	0.00742857142857143	0.00271428571428571	0.0128571428571429	0.00214285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides mediterraneensis"	0.00157142857142857	0.00157142857142857	0.0141428571428571	0.0107142857142857	0.00285714285714286	0.00328571428571429	0.00385714285714286	0.00628571428571429	0.0135714285714286
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium varium"	0.0305714285714286	0.003	0	0.000142857142857143	0	0	0	0	0.0165714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius"	0.0124285714285714	0.0118571428571429	0.00114285714285714	0.00114285714285714	0.000142857142857143	0	0	0.001	0.0221428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera vaginalis Bordigoni et al. 2020"	0.00385714285714286	0.000571428571428571	0	0.00428571428571429	0.0167142857142857	0.00385714285714286	0.00228571428571429	0.0102857142857143	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella tanakaei"	0.000857142857142857	0.000285714285714286	0.0225714285714286	0.00128571428571429	0.00185714285714286	0.000857142857142857	0.001	0.00571428571428571	0.00457142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia|s__Wansuia hejianensis"	0.00528571428571429	0.008	0.00157142857142857	0.00614285714285714	0.00157142857142857	0.00328571428571429	0.00385714285714286	0.00685714285714286	0.00242857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas hippei"	0.00871428571428571	0.00957142857142857	0.000571428571428571	0.00185714285714286	0.000571428571428571	0.00128571428571429	0.00257142857142857	0.006	0.00171428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae"	0.00271428571428571	0.00242857142857143	0.000428571428571429	0.00742857142857143	0.00228571428571429	0.00342857142857143	0.00757142857142857	0.00442857142857143	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium asaccharolyticum"	0.00414285714285714	0.00271428571428571	0.00114285714285714	0.00514285714285714	0.00471428571428571	0.00342857142857143	0.00285714285714286	0.00571428571428571	0.001
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium callitrichos"	0	0	0.0191428571428571	0	0	0	0	0	0.0102857142857143
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium aesculapii"	0	0	0.0232857142857143	0	0	0	0	0	0.00485714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola massiliensis"	0.000142857142857143	0.00357142857142857	0.001	0.00128571428571429	0	0	0.000142857142857143	0.00128571428571429	0.0202857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella freteri"	0	0.000142857142857143	0.0138571428571429	0.000571428571428571	0.000142857142857143	0.000428571428571429	0.000857142857142857	0.000571428571428571	0.00585714285714286
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera micronuciformis"	0.000714285714285714	0.001	0.000857142857142857	0.00285714285714286	0.00485714285714286	0.00357142857142857	0.00257142857142857	0.003	0.001
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor|s__Bilifractor porci"	0.00485714285714286	0.00142857142857143	0.000428571428571429	0.000428571428571429	0.00214285714285714	0.00171428571428571	0.00214285714285714	0.00385714285714286	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella intestinalis"	0.000571428571428571	0.000428571428571429	0.009	0.000571428571428571	0.00157142857142857	0.000857142857142857	0.000285714285714286	0.00285714285714286	0.001
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium hapali"	0	0	0.0131428571428571	0	0	0	0	0	0.00314285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum|s__Paramuribaculum intestinale"	0	0.000571428571428571	0.00471428571428571	0.00185714285714286	0.000571428571428571	0.001	0.00214285714285714	0.001	0.00185714285714286
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella vaginalis"	0.000428571428571429	0.000428571428571429	0.00271428571428571	0.000285714285714286	0.001	0.000714285714285714	0.001	0.00214285714285714	0.000857142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola dorei"	0.000428571428571429	0.000142857142857143	0.000857142857142857	0.00257142857142857	0.000571428571428571	0.000714285714285714	0.000571428571428571	0.00171428571428571	0.002
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola barnesiae"	0.000857142857142857	0.000142857142857143	0.001	0.00257142857142857	0.000142857142857143	0.000428571428571429	0.000571428571428571	0.00157142857142857	0.000714285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus|s__Sodaliphilus pleomorphus"	0	0.000142857142857143	0.00371428571428571	0.000285714285714286	0.001	0.000428571428571429	0.000285714285714286	0.000714285714285714	0.00128571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium urinimassiliense"	0.00157142857142857	0.000428571428571429	0	0.00142857142857143	0.000285714285714286	0.00114285714285714	0.00142857142857143	0.00128571428571429	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella|s__Parolsenella catena"	0.000142857142857143	0.000142857142857143	0.00385714285714286	0.000142857142857143	0.000571428571428571	0.000428571428571429	0.000428571428571429	0.000571428571428571	0.00114285714285714
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella stercoris"	0	0.000142857142857143	0.00457142857142857	0.000428571428571429	0.000142857142857143	0.000714285714285714	0.000142857142857143	0.000571428571428571	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora celerecrescens"	0.00285714285714286	0.00128571428571429	0	0.000857142857142857	0.000142857142857143	0.000428571428571429	0.000285714285714286	0.000571428571428571	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium leontopitheci"	0	0	0.00542857142857143	0	0	0	0	0	0.000857142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella hominis"	0	0	0.002	0	0	0	0	0	0.00428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera|s__Waltera intestinalis"	0.00142857142857143	0.000571428571428571	0.000428571428571429	0.000857142857142857	0.000285714285714286	0.000857142857142857	0.000285714285714286	0.001	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Porcincola|s__Porcincola intestinalis"	0.000857142857142857	0.000285714285714286	0.000142857142857143	0.000428571428571429	0.00114285714285714	0.000714285714285714	0.000142857142857143	0.002	0.000285714285714286
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter|s__Thermophilibacter mediterraneus"	0	0.000142857142857143	0.003	0.000285714285714286	0.000285714285714286	0.000142857142857143	0	0.000142857142857143	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium fessum"	0.00228571428571429	0.000285714285714286	0.000142857142857143	0.000142857142857143	0.000142857142857143	0.000428571428571429	0.000142857142857143	0.000428571428571429	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium porci"	0.00171428571428571	0.000142857142857143	0.000285714285714286	0.000285714285714286	0.000285714285714286	0.000285714285714286	0.000285714285714286	0.000571428571428571	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Colibacter|s__Colibacter massiliensis"	0.000571428571428571	0	0.000285714285714286	0.000142857142857143	0.00128571428571429	0.000285714285714286	0.000285714285714286	0.00142857142857143	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium rousetti"	0	0	0.00285714285714286	0	0	0	0	0	0.00142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Marvinbryantia|s__Marvinbryantia formatexigens"	0.000571428571428571	0.000428571428571429	0.000428571428571429	0.000428571428571429	0.000285714285714286	0.000428571428571429	0	0.000428571428571429	0.000428571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella viscericola"	0	0.000142857142857143	0.000857142857142857	0.000571428571428571	0.000285714285714286	0.000285714285714286	0.000142857142857143	0.000285714285714286	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera vaginalis"	0.000285714285714286	0	0.000714285714285714	0	0.000571428571428571	0.000571428571428571	0.000142857142857143	0.000428571428571429	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio fibrisolvens"	0.000285714285714286	0.000142857142857143	0.000285714285714286	0	0.000428571428571429	0	0.000428571428571429	0.00114285714285714	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella intestinihominis"	0	0	0.00114285714285714	0.000142857142857143	0.000142857142857143	0.000285714285714286	0.000285714285714286	0.000142857142857143	0.000428571428571429
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides johnsonii"	0.000142857142857143	0	0.000714285714285714	0.000142857142857143	0.000142857142857143	0	0	0.000571428571428571	0.000714285714285714
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium tissieri"	0	0	0.00157142857142857	0	0	0	0	0	0.000714285714285714
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella bouchesdurhonensis"	0	0	0.00142857142857143	0	0	0	0	0	0.000857142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Kineothrix|s__Kineothrix alysoides"	0.000142857142857143	0.000285714285714286	0	0.000428571428571429	0.000142857142857143	0.000285714285714286	0.000285714285714286	0.000571428571428571	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium polysaccharolyticum"	0.000428571428571429	0.000142857142857143	0.000571428571428571	0	0.000285714285714286	0.000142857142857143	0	0.000428571428571429	0.000285714285714286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium samirii"	0	0	0.00185714285714286	0	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides finegoldii"	0	0.000428571428571429	0	0	0	0	0	0	0.00157142857142857
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides chinchillae"	0	0	0.00114285714285714	0	0	0	0	0.000142857142857143	0.000714285714285714
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora indolis"	0.001	0.000142857142857143	0	0	0.000142857142857143	0	0.000142857142857143	0.000285714285714286	0.000142857142857143
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella flexneri"	0.000285714285714286	0	0.000285714285714286	0.000142857142857143	0.000142857142857143	0.000428571428571429	0	0	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora sphenoides"	0.00142857142857143	0	0	0	0	0	0	0.000285714285714286	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Caecibacter|s__Caecibacter massiliensis"	0.000285714285714286	0	0	0.000428571428571429	0.000571428571428571	0	0.000142857142857143	0.000428571428571429	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia caecimuris"	0.000571428571428571	0	0.000285714285714286	0.000285714285714286	0.000142857142857143	0.000285714285714286	0	0	0.000142857142857143
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter fastidiosus"	0	0.000142857142857143	0	0	0	0	0	0	0.00157142857142857
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia fergusonii"	0.000142857142857143	0	0.000142857142857143	0	0.000142857142857143	0.000285714285714286	0.000142857142857143	0	0.000571428571428571
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pluvialisilvae"	0	0	0.00128571428571429	0	0	0	0	0	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium vespertilionis"	0	0	0.001	0	0	0	0	0	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerocolumna|s__Anaerocolumna jejuensis"	0.000285714285714286	0.000142857142857143	0	0.000142857142857143	0.000428571428571429	0	0	0.000428571428571429	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia argi"	0.000285714285714286	0	0	0	0.000285714285714286	0	0	0.000857142857142857	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio crossotus"	0.000428571428571429	0	0.000285714285714286	0	0	0	0	0.000285714285714286	0.000428571428571429
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium mortiferum"	0	0	0	0	0	0	0	0	0.00142857142857143
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium cebidarum"	0	0	0.000714285714285714	0	0	0	0	0	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia pseudococcoides"	0.000285714285714286	0	0	0	0	0.000142857142857143	0	0.000571428571428571	0.000285714285714286
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio proteoclasticus"	0.000428571428571429	0	0	0	0.000285714285714286	0	0	0.000571428571428571	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Qiania|s__Qiania dongpingensis"	0.000285714285714286	0	0	0.000285714285714286	0.000142857142857143	0	0	0.000571428571428571	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides humanifaecis"	0	0.000142857142857143	0	0	0	0	0	0	0.00114285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera sueciensis"	0.000285714285714286	0	0	0	0.000285714285714286	0.000285714285714286	0	0.000285714285714286	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Hominisplanchenecus|s__Hominisplanchenecus faecis"	0.000428571428571429	0.000142857142857143	0.000142857142857143	0	0.000142857142857143	0	0	0.000285714285714286	0
